Customer_Age ,Customer_income ,Home_ownership,Employment_length,Purpose_of_loan,Loan_risk_grade,Loan_amount ,Interest_rate,Loan_Status,Loan_amount_as_%_of_income,Previous_default_history,Credit_history_length,person_emp_length_clean,loan_int_rate_clean
21,21000,MORTGAGE,5,DEBTCONSOLIDATION,D,3500,17.27,1,0.17,Y,2,5,17.27
21,21216,MORTGAGE,5,HOMEIMPROVEMENT,D,4500,,1,0.21,Y,2,5,15.31
21,21600,MORTGAGE,6,PERSONAL,A,7575,,0,0.35,N,3,4,7.49
21,21600,OWN,,VENTURE,A,7125,6.99,0,0.33,N,3,0,6.99
21,21600,MORTGAGE,2,DEBTCONSOLIDATION,A,3800,5.99,0,0.18,N,2,2,5.99
21,21600,MORTGAGE,2,DEBTCONSOLIDATION,B,10000,11.14,0,0.46,N,2,2,11.14
21,21816,MORTGAGE,2,PERSONAL,B,1500,11.86,0,0.07,N,3,2,11.86
21,22000,OWN,5,VENTURE,A,7350,7.66,0,0.33,N,2,5,7.66
21,22000,OWN,2,DEBTCONSOLIDATION,D,4000,15.05,0,0.18,N,4,2,15.05
21,23000,MORTGAGE,2,MEDICAL,A,7000,8.9,0,0.3,N,3,2,8.9
21,23000,MORTGAGE,6,DEBTCONSOLIDATION,C,3000,13.35,0,0.13,N,3,6,13.35
21,19000,RENT,0,EDUCATION,C,700,12.29,0,0.04,N,2,4,12.29
21,10140,RENT,,HOMEIMPROVEMENT,C,1000,13.43,1,0.1,N,4,0,13.43
21,23000,OTHER,0,EDUCATION,B,2400,12.21,0,0.1,N,4,0,12.21
21,12000,RENT,1,EDUCATION,C,1000,13.98,0,0.08,N,2,1,13.98
21,14400,RENT,1,VENTURE,D,1000,16.29,1,0.07,N,4,1,16.29
21,23040,OWN,1,VENTURE,D,5000,,0,0.22,N,3,1,15.31
21,23040,OWN,0,EDUCATION,A,15000,8.94,0,0.65,N,2,0,8.94
21,16000,RENT,2,VENTURE,D,1000,15.65,1,0.06,Y,3,2,15.65
21,36000,RENT,3,EDUCATION,C,18500,10.91,1,0.51,N,3,3,10.91
21,24000,MORTGAGE,0,VENTURE,A,3000,7.9,0,0.13,N,4,4,7.9
21,36000,RENT,,PERSONAL,B,18000,9.88,1,0.5,N,3,0,9.88
21,30720,RENT,5,EDUCATION,C,18000,13.48,1,0.59,Y,4,5,13.48
21,50000,RENT,2,EDUCATION,D,18000,14.74,1,0.36,N,2,2,14.74
21,52240,RENT,5,MEDICAL,E,18000,19.69,1,0.34,N,2,5,19.69
21,68000,RENT,4,EDUCATION,B,18000,10.65,0,0.26,N,2,4,10.65
21,24000,OWN,2,MEDICAL,B,7000,11.86,0,0.29,N,2,2,11.86
21,80000,RENT,6,VENTURE,A,18000,7.9,0,0.23,N,2,6,7.9
21,75000,RENT,3,EDUCATION,C,17950,10.91,0,0.24,N,3,3,10.91
21,24000,MORTGAGE,2,EDUCATION,B,5000,8.7,0,0.21,N,2,2,8.7
21,37232,RENT,3,MEDICAL,B,17500,12.53,1,0.47,N,2,3,12.53
21,24300,OWN,3,MEDICAL,B,4500,11.83,0,0.19,N,4,3,11.83
21,24396,MORTGAGE,2,VENTURE,D,4000,15.05,0,0.16,N,4,2,15.05
21,24960,MORTGAGE,0,PERSONAL,C,2000,13.99,0,0.08,Y,3,0,13.99
21,45408,RENT,3,DEBTCONSOLIDATION,B,17475,9.91,1,0.38,N,2,3,9.91
21,24996,OWN,3,EDUCATION,D,7000,15.58,0,0.28,N,2,3,15.58
21,24996,OWN,5,MEDICAL,C,6500,11.34,0,0.26,Y,4,5,11.34
21,25000,MORTGAGE,2,VENTURE,B,3600,9.91,0,0.14,N,4,2,9.91
21,49000,RENT,2,PERSONAL,D,16950,18.25,1,0.35,Y,4,2,18.25
21,25000,MORTGAGE,6,PERSONAL,A,1000,7.51,0,0.04,N,3,6,7.51
21,25000,MORTGAGE,4,VENTURE,C,2800,,0,0.11,Y,3,4,13.48
21,40000,RENT,0,EDUCATION,B,16000,11.83,1,0.4,N,4,0,11.83
21,41900,RENT,2,VENTURE,C,16000,12.84,1,0.38,Y,2,2,12.84
21,25000,OWN,0,MEDICAL,B,8800,9.33,0,0.35,N,3,0,9.33
21,52000,RENT,5,PERSONAL,D,16000,15.7,1,0.31,N,4,5,15.7
21,55000,RENT,5,DEBTCONSOLIDATION,A,16000,8.94,0,0.29,N,2,5,8.94
21,25200,MORTGAGE,0,PERSONAL,C,6500,14.26,1,0.26,Y,2,0,14.26
21,65000,RENT,5,PERSONAL,B,16000,9.91,0,0.25,N,3,5,9.91
21,20000,RENT,2,DEBTCONSOLIDATION,C,1000,14.26,0,0.05,Y,2,2,14.26
21,26000,OWN,5,EDUCATION,A,6000,5.79,0,0.23,N,2,5,5.79
21,24000,RENT,0,MEDICAL,B,1000,10.99,1,0.04,N,2,0,10.99
21,24960,RENT,0,EDUCATION,C,1000,13.98,0,0.04,N,4,0,13.98
21,26000,MORTGAGE,5,MEDICAL,D,14500,14.61,1,0.56,Y,2,5,14.61
21,30000,RENT,0,EDUCATION,B,1000,10.99,0,0.03,N,4,0,10.99
21,30000,RENT,0,DEBTCONSOLIDATION,A,1000,,0,0.03,N,3,0,7.49
21,33388,RENT,3,EDUCATION,B,1000,10.99,0,0.03,N,2,3,10.99
21,26004,OWN,5,VENTURE,A,7500,,0,0.29,N,2,5,7.49
21,38400,RENT,5,PERSONAL,C,1000,14.22,0,0.03,Y,3,5,14.22
21,34500,RENT,4,DEBTCONSOLIDATION,E,1000,16.45,1,0.03,N,2,4,16.45
21,45000,RENT,5,VENTURE,A,1000,7.49,0,0.02,N,3,5,7.49
21,42000,RENT,5,PERSONAL,D,1000,15.58,1,0.02,Y,4,5,15.58
21,50000,RENT,5,EDUCATION,C,1000,13.49,0,0.02,N,3,5,13.49
21,26400,OWN,2,VENTURE,A,4000,7.51,0,0.15,N,4,2,7.51
21,26500,MORTGAGE,3,MEDICAL,D,6000,14.46,1,0.23,Y,4,4,14.46
21,26784,MORTGAGE,,EDUCATION,A,2000,6.99,1,0.07,N,3,0,6.99
21,14400,RENT,2,DEBTCONSOLIDATION,A,1200,7.14,0,0.08,N,3,2,7.14
21,16200,RENT,3,EDUCATION,A,1200,7.49,0,0.07,N,3,3,7.49
21,27000,MORTGAGE,3,MEDICAL,C,9600,13.49,0,0.36,Y,2,3,13.49
21,30000,RENT,2,EDUCATION,B,1200,9.62,0,0.04,N,3,2,9.62
21,34000,RENT,5,HOMEIMPROVEMENT,B,1200,12.69,1,0.04,N,4,5,12.69
21,40000,RENT,5,VENTURE,D,1200,15.58,0,0.03,N,4,5,15.58
21,23004,RENT,5,VENTURE,B,1350,9.99,0,0.06,N,2,5,9.99
21,27568,OTHER,0,MEDICAL,D,3500,14.42,1,0.13,N,4,4,14.42
21,10000,RENT,,MEDICAL,A,1450,7.51,0,0.14,N,4,0,7.51
21,30000,RENT,0,DEBTCONSOLIDATION,A,1500,7.29,0,0.05,N,3,0,7.29
21,30000,RENT,0,DEBTCONSOLIDATION,C,1500,13.92,0,0.05,N,2,0,13.92
21,35000,RENT,3,EDUCATION,A,1500,5.79,0,0.04,N,2,3,5.79
21,27996,MORTGAGE,5,EDUCATION,A,10000,9.63,0,0.36,N,4,5,9.63
21,36000,RENT,0,EDUCATION,B,1500,10.37,0,0.04,N,4,0,10.37
21,28000,MORTGAGE,2,EDUCATION,C,1000,12.99,0,0.04,Y,4,2,12.99
21,40000,RENT,5,EDUCATION,B,1500,12.18,0,0.04,N,4,5,12.18
21,41004,RENT,5,EDUCATION,B,1500,,0,0.04,N,3,5,10.99
21,42000,RENT,5,EDUCATION,A,1500,5.79,0,0.04,N,3,5,5.79
21,52000,RENT,5,EDUCATION,B,1500,11.99,0,0.03,N,3,5,11.99
21,51000,RENT,0,HOMEIMPROVEMENT,D,1500,15.58,1,0.03,Y,4,0,15.58
21,12000,RENT,3,EDUCATION,B,1600,10.59,1,0.13,N,2,3,10.59
21,15360,RENT,0,EDUCATION,B,1600,12.69,0,0.1,N,2,0,12.69
21,28500,OWN,0,EDUCATION,C,4800,12.87,0,0.17,N,3,0,12.87
21,28596,MORTGAGE,3,PERSONAL,A,2000,7.29,0,0.07,N,4,3,7.29
21,28692,MORTGAGE,5,EDUCATION,B,3000,10.75,0,0.1,N,2,5,10.75
21,9600,RENT,0,EDUCATION,A,1750,8.94,1,0.18,N,2,4,8.94
21,28776,MORTGAGE,,EDUCATION,A,8000,8.9,0,0.28,N,4,0,8.9
21,40000,RENT,0,EDUCATION,A,1775,6.54,0,0.04,N,3,0,6.54
21,18000,RENT,5,PERSONAL,A,1800,6.62,0,0.1,N,3,5,6.62
21,28800,MORTGAGE,0,DEBTCONSOLIDATION,A,5000,7.49,0,0.17,N,3,0,7.49
21,48000,RENT,1,DEBTCONSOLIDATION,C,1800,13.35,0,0.04,Y,2,1,13.35
21,28800,MORTGAGE,2,PERSONAL,C,5500,13.23,0,0.19,Y,2,2,13.23
21,14400,RENT,2,VENTURE,D,1825,15.62,1,0.13,N,2,2,15.62
21,13200,RENT,2,DEBTCONSOLIDATION,A,1875,6.99,0,0.14,N,3,2,6.99
21,14000,RENT,0,MEDICAL,A,2000,,0,0.14,N,4,0,7.49
21,29000,MORTGAGE,0,PERSONAL,B,4200,11.99,0,0.14,N,3,0,11.99
21,14400,RENT,0,DEBTCONSOLIDATION,A,2000,5.79,0,0.14,N,2,0,5.79
21,15600,RENT,0,MEDICAL,A,2000,7.9,0,0.13,N,2,0,7.9
21,18000,RENT,1,EDUCATION,A,2000,5.42,0,0.11,N,3,1,5.42
21,20000,RENT,0,MEDICAL,A,2000,,0,0.1,N,3,0,7.49
21,21600,RENT,0,DEBTCONSOLIDATION,B,2000,11.71,1,0.09,N,2,0,11.71
21,23040,RENT,3,MEDICAL,C,2000,13.11,0,0.09,Y,2,3,13.11
21,24000,RENT,1,PERSONAL,E,2000,18.39,1,0.08,Y,3,1,18.39
21,24000,RENT,5,EDUCATION,B,2000,11.14,0,0.08,N,4,5,11.14
21,25500,RENT,6,EDUCATION,C,2000,13.47,0,0.08,N,2,6,13.47
21,29664,MORTGAGE,5,DEBTCONSOLIDATION,C,5000,13.57,1,0.17,Y,4,5,13.57
21,30000,RENT,5,EDUCATION,C,2000,13.43,0,0.07,N,4,5,13.43
21,30000,MORTGAGE,0,MEDICAL,A,7125,7.51,1,0.24,N,4,0,7.51
21,30000,MORTGAGE,0,EDUCATION,B,2400,11.71,0,0.08,N,3,0,11.71
21,30000,MORTGAGE,0,VENTURE,A,15000,7.51,0,0.5,N,4,0,7.51
21,30000,MORTGAGE,5,PERSONAL,A,7600,6.03,0,0.25,N,4,5,6.03
21,33000,RENT,0,HOMEIMPROVEMENT,C,2000,12.61,1,0.06,Y,3,0,12.61
21,40000,RENT,2,EDUCATION,C,2000,14.72,0,0.05,N,3,2,14.72
21,30000,OWN,5,MEDICAL,A,9000,5.99,0,0.3,N,4,5,5.99
21,30000,MORTGAGE,6,PERSONAL,A,3000,5.99,0,0.1,N,4,6,5.99
21,99996,RENT,5,EDUCATION,C,2000,13.57,0,0.02,Y,3,5,13.57
21,30000,MORTGAGE,5,VENTURE,B,6400,,0,0.21,N,3,5,10.99
21,30000,RENT,3,MEDICAL,B,14000,10.65,1,0.47,N,2,3,10.65
21,37947,RENT,5,PERSONAL,A,14000,7.9,1,0.37,N,2,5,7.9
21,30000,MORTGAGE,0,EDUCATION,D,2000,14.46,0,0.07,Y,4,0,14.46
21,12000,RENT,0,DEBTCONSOLIDATION,C,2200,,1,0.18,N,3,0,13.48
21,15000,RENT,4,EDUCATION,D,2200,,0,0.15,Y,4,4,15.31
21,16200,RENT,2,MEDICAL,D,2200,16.49,1,0.14,N,2,2,16.49
21,35360,RENT,1,EDUCATION,A,2200,7.49,0,0.06,N,2,1,7.49
21,52500,RENT,0,DEBTCONSOLIDATION,A,2225,7.66,0,0.04,N,3,0,7.66
21,34416,RENT,5,EDUCATION,A,2300,6.76,0,0.07,N,2,4,6.76
21,18000,RENT,,VENTURE,C,2400,14.72,0,0.13,N,2,0,14.72
21,24000,RENT,6,VENTURE,D,2400,16.29,0,0.1,N,3,6,16.29
21,26000,RENT,1,PERSONAL,B,2400,11.58,1,0.09,N,4,1,11.58
21,26400,RENT,0,EDUCATION,C,2400,14.79,0,0.09,Y,2,0,14.79
21,30000,RENT,1,HOMEIMPROVEMENT,D,2400,17.19,1,0.08,Y,2,1,17.19
21,30000,RENT,1,VENTURE,D,2400,16.49,1,0.08,Y,2,1,16.49
21,37800,RENT,1,PERSONAL,C,2400,14.26,0,0.06,Y,3,1,14.26
21,34000,RENT,5,HOMEIMPROVEMENT,B,2400,10.83,1,0.07,N,4,5,10.83
21,30000,MORTGAGE,0,PERSONAL,A,4750,9.63,1,0.16,N,2,0,9.63
21,30000,MORTGAGE,4,DEBTCONSOLIDATION,A,14000,9.38,0,0.47,N,4,4,9.38
21,10800,RENT,4,PERSONAL,B,2500,8.88,1,0.23,N,2,4,8.88
21,12000,RENT,,MEDICAL,B,2500,11.99,1,0.21,N,4,4,11.99
21,12540,RENT,,HOMEIMPROVEMENT,A,2500,7.88,1,0.2,N,2,0,7.88
21,38000,RENT,5,EDUCATION,B,13500,9.91,1,0.36,N,3,5,9.91
21,31000,MORTGAGE,5,PERSONAL,A,6000,7.51,0,0.19,N,4,5,7.51
21,31000,MORTGAGE,5,EDUCATION,A,7500,5.42,0,0.24,N,4,5,5.42
21,24000,RENT,2,VENTURE,D,13000,15.7,1,0.54,Y,3,2,15.7
21,24000,RENT,5,DEBTCONSOLIDATION,C,13000,12.87,1,0.54,N,2,5,12.87
21,31200,RENT,0,EDUCATION,C,13000,13.11,1,0.42,Y,2,0,13.11
21,40800,RENT,3,MEDICAL,C,13000,13.57,1,0.32,Y,2,3,13.57
21,42000,RENT,5,EDUCATION,D,13000,15.31,1,0.31,N,3,5,15.31
21,22000,RENT,4,DEBTCONSOLIDATION,A,2500,7.14,0,0.11,N,4,4,7.14
21,22200,RENT,2,PERSONAL,D,2500,16.29,1,0.11,N,4,2,16.29
21,31200,MORTGAGE,2,EDUCATION,D,1000,14.59,0,0.03,N,2,2,14.59
21,26940,RENT,1,EDUCATION,A,2500,5.42,0,0.09,N,4,1,5.42
21,28200,RENT,2,DEBTCONSOLIDATION,D,2500,16.77,1,0.09,Y,2,4,16.77
21,31544,MORTGAGE,,MEDICAL,A,2200,7.9,0,0.07,N,2,0,7.9
21,32000,RENT,1,VENTURE,A,2500,7.4,0,0.08,N,3,1,7.4
21,34368,RENT,0,DEBTCONSOLIDATION,C,2500,12.87,0,0.07,Y,2,0,12.87
21,31776,MORTGAGE,5,VENTURE,A,6000,8.9,0,0.19,N,3,5,8.9
21,30000,RENT,3,DEBTCONSOLIDATION,A,2500,7.14,1,0.08,N,4,3,7.14
21,42000,RENT,5,MEDICAL,B,2500,9.99,0,0.06,N,2,5,9.99
21,32000,MORTGAGE,4,PERSONAL,B,2500,11.71,1,0.08,N,3,4,11.71
21,42500,RENT,0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2,4,10.99
21,32000,MORTGAGE,,MEDICAL,A,8000,5.99,0,0.25,N,3,0,5.99
21,14800,RENT,5,DEBTCONSOLIDATION,A,2800,8,1,0.19,N,3,5,8
21,15600,RENT,0,MEDICAL,A,2800,7.4,1,0.18,N,4,0,7.4
21,32000,OWN,3,PERSONAL,E,4500,16,0,0.14,N,4,3,16
21,32000,MORTGAGE,5,DEBTCONSOLIDATION,B,4200,11.58,0,0.13,N,2,5,11.58
21,19000,RENT,0,PERSONAL,A,2900,8,0,0.15,N,2,0,8
21,49800,RENT,6,EDUCATION,A,2975,7.9,0,0.06,N,2,6,7.9
21,12000,RENT,5,EDUCATION,A,3000,8.9,1,0.25,N,4,5,8.9
21,12000,RENT,0,VENTURE,A,3000,7.88,1,0.25,N,3,0,7.88
21,32268,OWN,0,MEDICAL,A,8000,8,0,0.25,N,3,0,8
21,14400,RENT,2,MEDICAL,C,3000,13.43,1,0.21,Y,3,2,13.43
21,14400,RENT,2,HOMEIMPROVEMENT,B,3000,9.63,1,0.21,N,2,2,9.63
21,32400,MORTGAGE,2,EDUCATION,A,10000,5.42,0,0.31,N,2,2,5.42
21,17916,RENT,1,MEDICAL,A,3000,6,1,0.17,N,3,1,6
21,18000,RENT,0,DEBTCONSOLIDATION,A,3000,7.9,1,0.17,N,2,0,7.9
21,32400,MORTGAGE,5,PERSONAL,E,5000,16,1,0.15,N,2,5,16
21,18008,RENT,1,MEDICAL,B,3000,9.7,1,0.17,N,2,1,9.7
21,18864,RENT,0,HOMEIMPROVEMENT,B,3000,10.99,1,0.16,N,4,0,10.99
21,19200,RENT,0,PERSONAL,B,3000,10.99,1,0.16,N,2,0,10.99
21,20004,RENT,2,EDUCATION,B,3000,10.37,0,0.15,N,3,2,10.37
21,32900,MORTGAGE,2,MEDICAL,B,3000,9.99,0,0.09,N,2,2,9.99
21,30000,RENT,5,PERSONAL,B,3000,9.62,0,0.1,N,4,5,9.62
21,30000,RENT,4,EDUCATION,D,3000,16.32,0,0.1,Y,3,4,16.32
21,33000,OWN,,PERSONAL,A,2500,6.03,0,0.08,N,4,0,6.03
21,33000,MORTGAGE,5,HOMEIMPROVEMENT,C,2000,14.27,1,0.06,N,4,5,14.27
21,30000,RENT,2,EDUCATION,B,3000,11.89,0,0.1,N,4,2,11.89
21,33000,MORTGAGE,5,PERSONAL,B,7800,9.88,0,0.24,N,2,5,9.88
21,37000,RENT,0,EDUCATION,A,3000,6.39,0,0.08,N,3,0,6.39
21,38000,RENT,5,DEBTCONSOLIDATION,A,3000,7.05,0,0.08,N,4,5,7.05
21,40000,RENT,0,VENTURE,A,3000,,0,0.07,N,3,0,7.49
21,33168,MORTGAGE,6,PERSONAL,B,6425,9.63,0,0.19,N,3,6,9.63
21,33280,MORTGAGE,5,VENTURE,C,11200,13.92,1,0.34,N,4,5,13.92
21,39327,RENT,5,MEDICAL,D,3000,13.67,1,0.08,N,2,5,13.67
21,47208,RENT,2,PERSONAL,C,3000,13.92,0,0.06,Y,2,2,13.92
21,48000,RENT,2,EDUCATION,B,3000,9.76,0,0.06,N,4,2,9.76
21,33996,MORTGAGE,2,HOMEIMPROVEMENT,A,2500,7.88,1,0.07,N,3,2,7.88
21,50000,RENT,0,PERSONAL,B,12000,11.71,0,0.24,N,3,0,11.71
21,34000,MORTGAGE,5,EDUCATION,A,6000,6.76,0,0.18,N,2,5,6.76
21,34000,MORTGAGE,5,PERSONAL,A,7200,6.76,1,0.21,N,2,5,6.76
21,55000,RENT,5,VENTURE,B,12000,10.62,0,0.22,N,2,5,10.62
21,34056,OWN,6,PERSONAL,B,1500,10.65,0,0.04,N,3,6,10.65
21,56000,RENT,5,VENTURE,B,12000,10.75,0,0.21,N,4,5,10.75
21,57000,RENT,5,DEBTCONSOLIDATION,A,12000,7.29,0,0.21,N,4,5,7.29
21,34500,MORTGAGE,3,EDUCATION,A,6400,7.51,0,0.19,N,2,3,7.51
21,53000,RENT,3,EDUCATION,D,3000,,0,0.06,N,4,3,15.31
21,57000,RENT,3,PERSONAL,A,3000,5.42,0,0.05,N,3,3,5.42
21,35000,OWN,5,VENTURE,B,10000,,0,0.29,N,4,5,10.99
21,35000,MORTGAGE,5,PERSONAL,B,6900,12.42,0,0.2,N,3,5,12.42
21,35000,OWN,3,EDUCATION,C,5000,14.27,0,0.14,Y,3,3,14.27
21,35000,OWN,5,VENTURE,B,8000,9.91,0,0.23,N,3,5,9.91
21,68000,RENT,3,PERSONAL,C,3000,11.78,0,0.04,N,2,3,11.78
21,35000,MORTGAGE,6,DEBTCONSOLIDATION,B,15000,,0,0.43,N,4,6,10.99
21,35000,MORTGAGE,5,DEBTCONSOLIDATION,B,4800,10.99,0,0.14,N,3,5,10.99
21,35000,OWN,5,EDUCATION,A,4000,7.29,0,0.11,N,2,5,7.29
21,35000,OWN,5,EDUCATION,C,6500,13.43,0,0.19,N,2,5,13.43
21,35000,MORTGAGE,5,MEDICAL,B,1500,9.63,0,0.04,N,4,5,9.63
21,15300,RENT,5,HOMEIMPROVEMENT,B,3150,10.99,1,0.21,N,4,5,10.99
21,28800,RENT,1,EDUCATION,A,3175,6.03,0,0.11,N,4,4,6.03
21,12000,RENT,,VENTURE,B,3200,11.49,1,0.27,N,2,0,11.49
21,18000,RENT,1,PERSONAL,A,3200,8.49,1,0.18,N,3,1,8.49
21,35000,MORTGAGE,5,DEBTCONSOLIDATION,A,13650,7.51,0,0.39,N,4,5,7.51
21,24000,RENT,3,DEBTCONSOLIDATION,C,3200,13.57,0,0.13,N,4,3,13.57
21,30000,RENT,6,PERSONAL,A,3200,,0,0.11,N,2,6,7.49
21,30000,RENT,3,MEDICAL,B,3200,11.14,0,0.11,N,3,3,11.14
21,31000,RENT,5,DEBTCONSOLIDATION,B,3200,10.37,1,0.1,N,3,5,10.37
21,45000,RENT,3,PERSONAL,A,3200,6.54,0,0.07,N,4,3,6.54
21,85000,RENT,5,PERSONAL,B,3200,10.25,0,0.04,N,4,5,10.25
21,35000,MORTGAGE,1,MEDICAL,A,4950,7.68,0,0.14,N,4,1,7.68
21,12000,RENT,2,HOMEIMPROVEMENT,B,3250,9.99,1,0.27,N,2,2,9.99
21,35000,MORTGAGE,2,VENTURE,A,800,7.37,0,0.02,N,3,2,7.37
21,35004,OWN,5,VENTURE,B,1500,9.62,0,0.04,N,2,5,9.62
21,35004,OWN,0,EDUCATION,D,3000,15.58,0,0.09,N,3,0,15.58
21,29004,MORTGAGE,3,EDUCATION,E,7400,17.56,1,0.26,N,3,3,17.56
21,35004,MORTGAGE,1,VENTURE,A,3600,8,0,0.1,N,2,1,8
21,70000,RENT,3,PERSONAL,C,3300,,0,0.05,N,4,3,13.48
21,90000,RENT,2,VENTURE,B,3300,11.71,0,0.04,N,4,2,11.71
21,33000,RENT,5,VENTURE,C,3375,13.49,0,0.1,Y,3,5,13.49
